id,latitude,longitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,prec1,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,prec10,prec11,prec12,temp_min1,temp_min2,temp_min3,temp_min4,temp_min5,temp_min6,temp_min7,temp_min8,temp_min9,temp_min10,temp_min11,temp_min12,temp_max1,temp_max2,temp_max3,temp_max4,temp_max5,temp_max6,temp_max7,temp_max8,temp_max9,temp_max10,temp_max11,temp_max12
88,47.4,0.683333,11.71262550354,8.83708381652832,37.7782287597656,558.568664550781,25.4190006256104,2.02699995040894,23.3920001983643,8.45383358001709,18.8120002746582,18.8120002746582,5.22083330154419,673,68,40,14.3967475891113,193,138,138,191,61,62,49,54,62,48,50,40,54,61,64,68,2.02699995040894,2.07599997520447,3.73900008201599,5.21000003814697,8.9709997177124,11.8870000839233,13.8920001983643,13.7679996490479,11.0290002822876,7.9680004119873,4.15700006484985,2.8050000667572,7.34600019454956,8.85900020599365,12.298999786377,14.9969997406006,19.1949996948242,22.5020008087158,25.4039993286133,25.4190006256104,21.7600002288818,16.5880012512207,10.9930000305176,8.21199989318848
108,48.5167,-4.06667,11.0380420684814,6.3714165687561,37.6539001464844,391.225708007812,20.6700000762939,3.74900007247925,16.9209995269775,7.5401668548584,15.8948335647583,16.0608329772949,6.66050004959106,1085,132,48,32.4214477539062,387,164,190,371,131,108,92,74,71,57,48,59,83,106,124,132,3.9300000667572,3.74900007247925,4.72100019454956,5.57800006866455,8.38899993896484,10.6420001983643,12.7550001144409,12.7659997940063,11.2569999694824,9.17899990081787,6.38600015640259,4.87599992752075,8.71300029754639,9.03200054168701,10.7159996032715,12.4479999542236,15.6029996871948,18.1770000457764,20.3589992523193,20.6700000762939,18.5580005645752,15.0729999542236,11.6730003356934,9.66300010681152
139,48.5167,-4.06667,11.0380420684814,6.3714165687561,37.6539001464844,391.225708007812,20.6700000762939,3.74900007247925,16.9209995269775,7.5401668548584,15.8948335647583,16.0608329772949,6.66050004959106,1085,132,48,32.4214477539062,387,164,190,371,131,108,92,74,71,57,48,59,83,106,124,132,3.9300000667572,3.74900007247925,4.72100019454956,5.57800006866455,8.38899993896484,10.6420001983643,12.7550001144409,12.7659997940063,11.2569999694824,9.17899990081787,6.38600015640259,4.87599992752075,8.71300029754639,9.03200054168701,10.7159996032715,12.4479999542236,15.6029996871948,18.1770000457764,20.3589992523193,20.6700000762939,18.5580005645752,15.0729999542236,11.6730003356934,9.66300010681152
159,47.35,3.93333,9.45570850372314,8.03725051879883,33.1761322021484,598.504333496094,23.1030006408691,-1.12300002574921,24.2259998321533,3.30283331871033,5.27950000762939,16.9540004730225,2.24916672706604,850,80,59,10.6158428192139,234,188,210,220,75,66,61,61,79,75,59,76,70,69,80,79,-0.871999979019165,-1.12300002574921,1.86699998378754,3.23799991607666,7.29099988937378,10.3129997253418,12.9359998703003,12.5419998168945,9.69999980926514,6.70300006866455,2.30999994277954,0.340000003576279,4.26999998092651,5.42199993133545,9.99699974060059,12.2760000228882,16.7999992370605,20.0400009155273,23.1030006408691,22.7900009155273,18.9619998931885,14.2629995346069,8.31099987030029,5.45800018310547
265,44.65,-1.16667,12.9424171447754,9.40983390808105,42.1663093566895,477.938598632812,24.9759998321533,2.66000008583069,22.3159999847412,8.05966663360596,18.7946662902832,18.9090003967285,7.34566688537598,953,115,43,27.513578414917,324,158,188,294,98,85,69,73,68,55,43,60,85,91,115,111,2.66000008583069,3.27799987792969,4.49399995803833,6.40999984741211,9.82400035858154,12.4499998092651,14.3959999084473,14.3999996185303,12.0559997558594,9.46399974822998,5.53600025177002,3.88199996948242,10.710000038147,12.076000213623,14.4479999542236,16.1440010070801,19.5179996490479,21.9260005950928,24.6200008392334,24.9759998321533,23.0060005187988,18.7740001678467,14.1020002365112,11.4680004119873
350,46.6667,4.11667,10.4928331375122,9.00500011444092,35.1428375244141,622.199401855469,25.0879993438721,-0.53600001335144,25.6239986419678,18.3446674346924,6.3953332901001,18.3446674346924,3.05033349990845,790,81,49,15.5604867935181,221,156,221,181,65,53,49,54,76,81,62,78,74,64,71,63,-0.53600001335144,-0.289000004529953,2.3510000705719,4.00699996948242,8.13599967956543,11.1909999847412,13.6890001296997,13.2180004119873,9.98699951171875,6.9520001411438,2.42799997329712,0.75,5.17500019073486,6.82200002670288,11.4119997024536,14.0690002441406,18.5190010070801,21.9759998321533,25.0879993438721,24.9060001373291,20.798999786377,15.4980001449585,9.30000019073486,6.38000011444092
351,46.6667,4.11667,10.4928331375122,9.00500011444092,35.1428375244141,622.199401855469,25.0879993438721,-0.53600001335144,25.6239986419678,18.3446674346924,6.3953332901001,18.3446674346924,3.05033349990845,790,81,49,15.5604867935181,221,156,221,181,65,53,49,54,76,81,62,78,74,64,71,63,-0.53600001335144,-0.289000004529953,2.3510000705719,4.00699996948242,8.13599967956543,11.1909999847412,13.6890001296997,13.2180004119873,9.98699951171875,6.9520001411438,2.42799997329712,0.75,5.17500019073486,6.82200002670288,11.4119997024536,14.0690002441406,18.5190010070801,21.9759998321533,25.0879993438721,24.9060001373291,20.798999786377,15.4980001449585,9.30000019073486,6.38000011444092
403,49.3667,16.2667,7.72333335876465,8.33766651153564,30.1805057525635,738.456909179688,22.9290008544922,-4.69700002670288,27.6260013580322,16.7273330688477,-0.0293333437293768,16.7273330688477,-1.38366675376892,541,83,25,43.6205940246582,220,78,220,81,25,25,28,36,60,83,76,61,45,33,38,31,-4.69700002670288,-4.17500019073486,-0.85699999332428,2.56100010871887,7.4210000038147,10.2119998931885,11.8660001754761,11.628999710083,8.24199962615967,4.09499979019165,-0.219999998807907,-3.42300009727478,0.486000001430511,2.24600005149841,6.82100009918213,12.3909997940063,18.0550003051758,20.8990001678467,22.8290004730225,22.9290008544922,17.8990001678467,11.9210004806519,4.9689998626709,1.2610000371933
410,49.4211,16.3497,7.3033332824707,8.00783348083496,29.8410034179688,724.7841796875,22.0599994659424,-4.77500009536743,26.8349990844727,16.1493339538574,-0.333666682243347,16.1493339538574,-1.61133337020874,562,86,26,42.9447402954102,228,82,228,85,26,26,30,37,61,86,78,64,47,35,39,33,-4.77500009536743,-4.41599988937378,-1.13399994373322,2.19400000572205,7.06699991226196,9.85299968719482,11.4630002975464,11.2969999313354,8.04800033569336,3.99900007247925,-0.363999992609024,-3.63899993896484,0.28999999165535,1.79999995231628,6.23299980163574,11.6129999160767,17.3570003509521,20.2019996643066,22.0209999084473,22.0599994659424,17.1469993591309,11.3459997177124,4.5460000038147,1.07200002670288
424,49.4112,16.2815,7.72333335876465,8.33766651153564,30.1805057525635,738.456909179688,22.9290008544922,-4.69700002670288,27.6260013580322,16.7273330688477,-0.0293333437293768,16.7273330688477,-1.38366675376892,541,83,25,43.6205940246582,220,78,220,81,25,25,28,36,60,83,76,61,45,33,38,31,-4.69700002670288,-4.17500019073486,-0.85699999332428,2.56100010871887,7.4210000038147,10.2119998931885,11.8660001754761,11.628999710083,8.24199962615967,4.09499979019165,-0.219999998807907,-3.42300009727478,0.486000001430511,2.24600005149841,6.82100009918213,12.3909997940063,18.0550003051758,20.8990001678467,22.8290004730225,22.9290008544922,17.8990001678467,11.9210004806519,4.9689998626709,1.2610000371933
